id,lang_code,lang_name,lang_orig,name
0,af,Afrikaans,Afrikaans,
88,sq,Albanian,Shqip,
3,ase,American Sign Language,American Sign Language,
1,am,Amharic,አማርኛ,
2,ar,Arabic,العربية,
50,hy,Armenian,Հայերեն,
4,az,Azerbaijani,Azərbaycan,
7,bn,Bangla,বাংলা,
29,eu,Basque,Euskara,
5,be,Belarusian,Беларуская,
8,bs,Bosnian,Bosanski,
6,bg,Bulgarian,Български,
73,my,Burmese,မြန်မာ,
101,yue,Cantonese,粵語,
9,ca,Catalan,Català,
103,zh-HK,Chinese (Hong Kong),中文（香港）,
102,zh-CN,Chinese (Simplified),中文（简体）,
104,zh-Hans,Chinese (Simplified),中文（简体）,
106,zh-SG,Chinese (Singapore),中文（新加坡）,
105,zh-Hant,Chinese (Traditional),中文（繁體）,
107,zh-TW,Chinese (Traditional),中文（繁體）,
48,hr,Croatian,Hrvatski,
10,cs,Czech,Čeština,
77,nl,Dutch,Nederlands,
75,nl-BE,Dutch (Belgium),Nederlands (België),
76,nl-NL,Dutch (Netherlands),Nederlands (Nederland),
21,en,English,English,
17,en-CA,English (Canada),English (Canada),
19,en-IE,English (Ireland),English (Ireland),
18,en-GB,English (United Kingdom),English (United Kingdom),
20,en-US,English (United States),English (United States),
22,eo,Esperanto,Esperanto,
28,et,Estonian,Eesti,
36,fo,Faroese,Føroyskt,
35,fj,Fijian,Fijian,
34,fil,Filipino,Filipino,
33,fi,Finnish,Suomi,
41,fr,French,Français,
37,fr-BE,French (Belgium),Français (Belgique),
38,fr-CA,French (Canada),Français (Canada),
40,fr-FR,French (France),Français (France),
39,fr-CH,French (Switzerland),Français (Suisse),
44,gl,Galician,Galego,
57,ka,Georgian,ქართული,
15,de,German,Deutsch,
12,de-AT,German (Austria),Deutsch (Österreich),
14,de-DE,German (Germany),Deutsch (Deutschland),
13,de-CH,German (Switzerland),Deutsch (Schweiz),
16,el,Greek,Ελληνικά,
45,gu,Gujarati,ગુજરાતી,
46,ha,Hausa,Hausa,
54,iw,Hebrew,עברית,
47,hi,Hindi,हिन्दी,
49,hu,Hungarian,Magyar,
52,is,Icelandic,Íslenska,
51,id,Indonesian,Indonesia,
42,ga,Irish,Gaeilge,
53,it,Italian,Italiano,
55,ja,Japanese,日本語,
56,jv,Javanese,Jawa,
60,kn,Kannada,ಕನ್ನಡ,
58,kk,Kazakh,Қазақ Тілі,
59,km,Khmer,ខ្មែរ,
61,ko,Korean,한국어,
62,ku,Kurdish,Kurdî,
64,lo,Lao,ລາວ,
63,la,Latin,Latin,
65,lv,Latvian,Latviešu,
68,mk,Macedonian,Македонски,
72,ms,Malay,Melayu,
69,ml,Malayalam,മലയാളം,
67,mi,Maori,Māori,
71,mr,Marathi,मराठी,
66,mas,Masai,Maa,
70,mn,Mongolian,Монгол,
74,ne,Nepali,नेपाली,
78,no,Norwegian,Norsk,
32,fa,Persian,فارسی,
30,fa-AF,Persian (Afghanistan),فارسی (افغانستان),
31,fa-IR,Persian (Iran),فارسی (ایران),
80,pl,Polish,Polski,
81,pt-PT,Portuguese (Portugal),Português (Portugal),
79,pa,Punjabi,ਪੰਜਾਬੀ,
82,ro,Romanian,Română,
83,ru,Russian,Русский,
43,gd,Scottish Gaelic,Gàidhlig,
90,sr,Serbian,Српски,
89,sr-Latn,Serbian (Latin),Srpski (Latinica),
84,sd,Sindhi,سنڌي,
85,si,Sinhala,සිංහල,
86,sk,Slovak,Slovenčina,
87,sl,Slovenian,Slovenščina,
27,es,Spanish,Español,
23,es-419,Spanish (Latin America),Español (Latinoamérica),
25,es-MX,Spanish (Mexico),Español (México),
24,es-ES,Spanish (Spain),Español (España),
26,es-US,Spanish (United States),Español (Estados Unidos),
91,sv,Swedish,Svenska,
92,ta,Tamil,தமிழ்,
93,te,Telugu,తెలుగు,
94,th,Thai,ไทย,
95,tr,Turkish,Türkçe,
96,uk,Ukrainian,Українська,
97,ur,Urdu,اردو,
98,uz,Uzbek,O‘zbek,
99,vi,Vietnamese,Tiếng Việt,
11,cy,Welsh,Cymraeg,
100,yi,Yiddish,ייִדיש,
108,zu,Zulu,Isizulu,
