id,lang_code,lang_name,lang_orig,name
0,ar,Arabic,العربية,
16,zh-Hans,Chinese (Simplified),中文（简体）,
17,zh-Hant,Chinese (Traditional),中文（繁體）,
1,cs,Czech,Čeština,
11,nl-NL,Dutch (Netherlands),Nederlands (Nederland),
3,en,English,English,
6,fr,French,Français,
2,de,German,Deutsch,
7,hi,Hindi,हिन्दी,
8,it,Italian,Italiano,
9,ja,Japanese,日本語,
10,ko,Korean,한국어,
12,pl,Polish,Polski,
13,pt-BR,Portuguese (Brazil),Português (Brasil),
14,ru,Russian,Русский,
4,es-419,Spanish (Latin America),Español (Latinoamérica),
5,es-ES,Spanish (Spain),Español (España),
15,tr,Turkish,Türkçe,
